user_id,task_id,timestamp,action
2203,487,1741371173472,insert
2203,487,1741371173472,insert
2203,487,1741371174437,insert
2203,487,1741371174437,insert
2203,487,1741371176710,insert
2203,487,1741371177032,insert
2203,487,1741371177259,insert
2203,487,1741371177420,insert
2203,487,1741371177642,insert
2203,487,1741371177835,insert
2203,487,1741371178024,insert
2203,487,1741371178290,insert
2203,487,1741371178576,insert
2203,487,1741371178772,insert
2203,487,1741371178925,insert
2203,487,1741371180506,insert
2203,487,1741371181771,insert
2203,487,1741371182056,insert
2203,487,1741371182220,insert
2203,487,1741371182342,insert
2203,487,1741371182731,insert
2203,487,1741371182831,insert
2203,487,1741371183047,insert
2203,487,1741371183731,insert
2203,487,1741371184008,insert
2203,487,1741371184252,insert
2203,487,1741371184548,insert
2203,487,1741371184697,insert
2203,487,1741371185161,insert
2203,487,1741371185507,insert
2203,487,1741371185872,insert
2203,487,1741371187513,remove
2203,487,1741371188217,insert
2203,487,1741371188347,insert
2203,487,1741371188546,insert
2203,487,1741371188672,insert
2203,487,1741371189013,insert
2203,487,1741371189503,insert
2203,487,1741371189692,insert
2203,487,1741371189817,insert
2203,487,1741371189948,insert
2203,487,1741371190068,insert
2203,487,1741371194166,remove
2203,487,1741371194379,insert
2203,487,1741371196556,insert
2203,487,1741371197859,insert
2203,487,1741371197995,insert
2203,487,1741371198173,insert
2203,487,1741371198340,insert
2203,487,1741371198576,insert
2203,487,1741371199069,insert
2203,487,1741371199315,insert
2203,487,1741371199444,insert
2180,477,1741371194811,insert
2180,477,1741371195321,insert
2180,477,1741371195321,insert
2180,477,1741371195943,insert
2180,477,1741371196060,insert
2180,477,1741371196519,insert
2180,477,1741371198260,insert
2180,477,1741371198395,insert
2180,477,1741371198570,remove
2180,477,1741371198570,insert
2180,477,1741371198778,insert
2180,477,1741371199480,insert
2180,477,1741371200402,insert
2180,477,1741371200862,insert
2180,477,1741371201608,insert
2203,487,1741371208958,insert
2203,487,1741371209126,insert
2203,487,1741371209937,insert
2203,487,1741371210518,insert
2203,487,1741371210646,insert
2203,487,1741371210883,insert
2203,487,1741371211087,insert
2203,487,1741371211284,insert
2203,487,1741371211399,insert
2203,487,1741371211963,insert
2203,487,1741371212302,insert
2203,487,1741371212504,insert
2203,487,1741371212679,insert
2203,487,1741371212808,insert
2203,487,1741371214147,insert
2203,487,1741371214554,insert
2203,487,1741371214860,insert
2203,487,1741371215078,insert
2203,487,1741371215263,insert
2203,487,1741371215456,insert
2203,487,1741371215577,insert
2203,487,1741371218122,insert
2203,487,1741371218122,insert
2203,487,1741371218368,insert
2203,487,1741371218567,insert
2203,487,1741371219414,insert
2203,487,1741371219525,insert
2203,487,1741371219650,insert
2203,487,1741371219749,insert
2203,487,1741371221215,insert
2203,487,1741371222696,insert
2203,487,1741371222864,insert
2203,487,1741371223903,remove
2203,487,1741371223903,insert
2203,487,1741371224985,insert
2203,487,1741371225099,insert
2203,487,1741371225146,insert
2203,487,1741371225685,insert
2203,487,1741371225810,insert
2203,487,1741371225910,insert
2203,487,1741371226599,remove
2203,487,1741371226600,insert
2203,487,1741371227340,insert
2203,487,1741371227615,insert
2203,487,1741371227615,insert
2203,487,1741371228290,insert
2203,487,1741371228431,insert
2203,487,1741371228619,insert
2203,487,1741371228785,insert
2203,487,1741371229111,insert
2203,487,1741371231666,insert
2203,487,1741371231822,insert
2203,487,1741371232016,insert
2203,487,1741371232137,insert
2203,487,1741371232414,remove
2203,487,1741371232414,insert
2203,487,1741371233264,insert
2203,487,1741371233389,insert
2203,487,1741371233421,insert
2203,487,1741371233785,insert
2203,487,1741371233892,insert
2203,487,1741371234066,insert
2203,487,1741371234238,insert
2203,487,1741371234654,remove
2203,487,1741371234655,insert
2203,487,1741371235422,insert
2203,487,1741371235720,insert
2203,487,1741371235720,insert
2203,487,1741371236568,insert
2203,487,1741371236633,insert
2203,487,1741371236832,insert
2203,487,1741371237138,insert
2203,487,1741371237398,insert
